Date	Type	Title	Info	Currency	Amount	Fees & Taxes	Net
16 January, 2024	VAT	VAT: Credit for Regulatory Operating fee		GBP	--	£0.01	£0.01
16 January, 2024	Fee	Credit for Regulatory Operating fee	Order #3167767010	GBP	--	£0.06	£0.06
16 January, 2024	VAT	VAT: transaction credit	transaction credit: 3915801043	GBP	--	£0.16	£0.16
16 January, 2024	Fee	Credit for transaction fee on Personalised Name Night Light for Baby,A...	Order #3167767010	GBP	--	£0.78	£0.78
16 January, 2024	VAT	VAT: shipping transaction credit		GBP	--	£0.07	£0.07
16 January, 2024	Fee	Credit for transaction fee on shipping	Order #3167767010	GBP	--	£0.35	£0.35
16 January, 2024	VAT	VAT: Processing Fee	order: 3167767010	GBP	--	£0.18	£0.18
16 January, 2024	Fee	Credit for processing fee	Order #3167767010	GBP	--	£0.89	£0.89
16 January, 2024	Refund	Refund to buyer for Order #3167767010		GBP	-£17.37	--	-£17.37
15 January, 2024	VAT	VAT: Credit for Regulatory Operating fee		GBP	--	£0.01	£0.01
15 January, 2024	Fee	Credit for Regulatory Operating fee	Order #3159331115	GBP	--	£0.06	£0.06
15 January, 2024	VAT	VAT: transaction credit	transaction credit: 3915250467	GBP	--	£0.15	£0.15
15 January, 2024	Fee	Credit for transaction fee on Personalised Name Night Light for Baby,A...	Order #3159331115	GBP	--	£0.74	£0.74
15 January, 2024	VAT	VAT: shipping transaction credit		GBP	--	£0.08	£0.08
15 January, 2024	Fee	Credit for transaction fee on shipping	Order #3159331115	GBP	--	£0.39	£0.39
15 January, 2024	VAT	VAT: Processing Fee	order: 3159331115	GBP	--	£0.21	£0.21
15 January, 2024	Fee	Credit for processing fee	Order #3159331115	GBP	--	£1.04	£1.04
15 January, 2024	Tax	Refund to buyer for sales tax	Order #3159331115	GBP	--	£3.49	£3.49
15 January, 2024	Refund	Refund to buyer for Order #3159331115		GBP	-£20.94	--	-£20.94
15 January, 2024	VAT	VAT: Credit for Regulatory Operating fee		GBP	--	£0.01	£0.01
15 January, 2024	Fee	Credit for Regulatory Operating fee	Order #3168821442	GBP	--	£0.06	£0.06
15 January, 2024	VAT	VAT: transaction credit	transaction credit: 3917201047	GBP	--	£0.16	£0.16
15 January, 2024	Fee	Credit for transaction fee on Custom Name Night Light,Personalized Cou...	Order #3168821442	GBP	--	£0.78	£0.78
15 January, 2024	VAT	VAT: shipping transaction credit		GBP	--	£0.07	£0.07
15 January, 2024	Fee	Credit for transaction fee on shipping	Order #3168821442	GBP	--	£0.35	£0.35
15 January, 2024	VAT	VAT: Processing Fee	order: 3168821442	GBP	--	£0.18	£0.18
15 January, 2024	Fee	Credit for processing fee	Order #3168821442	GBP	--	£0.90	£0.90
15 January, 2024	Refund	Refund to buyer for Order #3168821442		GBP	-£17.42	--	-£17.42
15 January, 2024	VAT	VAT: Credit for Regulatory Operating fee		GBP	--	£0.02	£0.02
15 January, 2024	Fee	Credit for Regulatory Operating fee	Order #3158501580	GBP	--	£0.08	£0.08
15 January, 2024	VAT	VAT: transaction credit	transaction credit: 3903943187	GBP	--	£0.21	£0.21
15 January, 2024	Fee	Credit for transaction fee on Personalised Photo Night Light,Custom Na...	Order #3158501580	GBP	--	£1.03	£1.03
15 January, 2024	VAT	VAT: shipping transaction credit		GBP	--	£0.11	£0.11
15 January, 2024	Fee	Credit for transaction fee on shipping	Order #3158501580	GBP	--	£0.55	£0.55
15 January, 2024	VAT	VAT: Processing Fee	order: 3158501580	GBP	--	£0.25	£0.25
15 January, 2024	Fee	Credit for processing fee	Order #3158501580	GBP	--	£1.24	£1.24
15 January, 2024	Tax	Refund to buyer for sales tax	Order #3158501580	GBP	--	£1.70	£1.70
15 January, 2024	Refund	Refund to buyer for Order #3158501580		GBP	-£26.04	--	-£26.04
15 January, 2024	VAT	VAT: Credit for Regulatory Operating fee		GBP	--	£0.02	£0.02
15 January, 2024	Fee	Credit for Regulatory Operating fee	Order #3133122254	GBP	--	£0.12	£0.12
15 January, 2024	VAT	VAT: transaction credit	transaction credit: 3871533924	GBP	--	£0.18	£0.18
15 January, 2024	Fee	Credit for transaction fee on Kids Wooden Letter Piggy Bank,Custom ini...	Order #3133122254	GBP	--	£0.89	£0.89
15 January, 2024	VAT	VAT: transaction credit	transaction credit: 3872053343	GBP	--	£0.18	£0.18
15 January, 2024	Fee	Credit for transaction fee on Kids Wooden Letter Piggy Bank,Custom ini...	Order #3133122254	GBP	--	£0.89	£0.89
15 January, 2024	VAT	VAT: shipping transaction credit		GBP	--	£0.14	£0.14
15 January, 2024	Fee	Credit for transaction fee on shipping	Order #3133122254	GBP	--	£0.68	£0.68
15 January, 2024	VAT	VAT: Processing Fee	order: 3133122254	GBP	--	£0.34	£0.34
15 January, 2024	Fee	Credit for processing fee	Order #3133122254	GBP	--	£1.71	£1.71
15 January, 2024	Refund	Refund to buyer for Order #3133122254		GBP	-£37.68	--	-£37.68
14 January, 2024	VAT	VAT: Credit for Regulatory Operating fee		GBP	--	£0.01	£0.01
14 January, 2024	Fee	Credit for Regulatory Operating fee	Order #3157629449	GBP	--	£0.06	£0.06
14 January, 2024	VAT	VAT: transaction credit	transaction credit: 3912256236	GBP	--	£0.16	£0.16
14 January, 2024	Fee	Credit for transaction fee on Custom Name Night Light,Personalized Cou...	Order #3157629449	GBP	--	£0.78	£0.78
14 January, 2024	VAT	VAT: shipping transaction credit		GBP	--	£0.07	£0.07
14 January, 2024	Fee	Credit for transaction fee on shipping	Order #3157629449	GBP	--	£0.35	£0.35
14 January, 2024	VAT	VAT: Processing Fee	order: 3157629449	GBP	--	£0.18	£0.18
14 January, 2024	Fee	Credit for processing fee	Order #3157629449	GBP	--	£0.90	£0.90
14 January, 2024	Refund	Refund to buyer for Order #3157629449		GBP	-£17.42	--	-£17.42
14 January, 2024	VAT	VAT: Credit for Regulatory Operating fee		GBP	--	£0.01	£0.01
14 January, 2024	Fee	Credit for Regulatory Operating fee	Order #3158585209	GBP	--	£0.05	£0.05
14 January, 2024	VAT	VAT: transaction credit	transaction credit: 3913538404	GBP	--	£0.15	£0.15
14 January, 2024	Fee	Credit for transaction fee on Custom Name Night Light,Personalized Cou...	Order #3158585209	GBP	--	£0.75	£0.75
14 January, 2024	VAT	VAT: shipping transaction credit		GBP	--	£0.07	£0.07
14 January, 2024	Fee	Credit for transaction fee on shipping	Order #3158585209	GBP	--	£0.35	£0.35
14 January, 2024	VAT	VAT: Processing Fee	order: 3158585209	GBP	--	£0.18	£0.18
14 January, 2024	Fee	Credit for processing fee	Order #3158585209	GBP	--	£0.88	£0.88
14 January, 2024	Refund	Refund to buyer for Order #3158585209		GBP	-£16.90	--	-£16.90
14 January, 2024	VAT	VAT: Credit for Regulatory Operating fee		GBP	--	£0.01	£0.01
14 January, 2024	Fee	Credit for Regulatory Operating fee	Order #3169518410	GBP	--	£0.07	£0.07
14 January, 2024	VAT	VAT: Offsite Ads fee credit	order: 3169518410	GBP	--	£0.49	£0.49
14 January, 2024	Marketing	Credit for Offsite Ads fee	Order #3169518410	GBP	--	£2.45	£2.45
14 January, 2024	VAT	VAT: transaction credit	transaction credit: 3917429896	GBP	--	£0.20	£0.20
14 January, 2024	Fee	Credit for transaction fee on Personalised Photo Night Light,Custom Na...	Order #3169518410	GBP	--	£0.98	£0.98
14 January, 2024	VAT	VAT: shipping transaction credit		GBP	--	£0.07	£0.07
14 January, 2024	Fee	Credit for transaction fee on shipping	Order #3169518410	GBP	--	£0.35	£0.35
14 January, 2024	VAT	VAT: Processing Fee	order: 3169518410	GBP	--	£0.20	£0.20
14 January, 2024	Fee	Credit for processing fee	Order #3169518410	GBP	--	£1.02	£1.02
14 January, 2024	Refund	Refund to buyer for Order #3169518410		GBP	-£20.45	--	-£20.45
13 January, 2024	VAT	VAT: Credit for Regulatory Operating fee		GBP	--	£0.01	£0.01
13 January, 2024	Fee	Credit for Regulatory Operating fee	Order #3158109665	GBP	--	£0.05	£0.05
13 January, 2024	VAT	VAT: transaction credit	transaction credit: 3913584569	GBP	--	£0.15	£0.15
13 January, 2024	Fee	Credit for transaction fee on Custom Name Night Light,Personalized Cou...	Order #3158109665	GBP	--	£0.75	£0.75
13 January, 2024	VAT	VAT: shipping transaction credit		GBP	--	£0.07	£0.07
13 January, 2024	Fee	Credit for transaction fee on shipping	Order #3158109665	GBP	--	£0.35	£0.35
13 January, 2024	VAT	VAT: Processing Fee	order: 3158109665	GBP	--	£0.18	£0.18
13 January, 2024	Fee	Credit for processing fee	Order #3158109665	GBP	--	£0.88	£0.88
13 January, 2024	Refund	Refund to buyer for Order #3158109665		GBP	-£16.90	--	-£16.90
13 January, 2024	VAT	VAT: Credit for Regulatory Operating fee		GBP	--	£0.01	£0.01
13 January, 2024	Fee	Credit for Regulatory Operating fee	Order #3160518819	GBP	--	£0.05	£0.05
13 January, 2024	VAT	VAT: Offsite Ads fee credit	order: 3160518819	GBP	--	£0.40	£0.40
13 January, 2024	Marketing	Credit for Offsite Ads fee	Order #3160518819	GBP	--	£2.02	£2.02
13 January, 2024	VAT	VAT: transaction credit	transaction credit: 3916855131	GBP	--	£0.15	£0.15
13 January, 2024	Fee	Credit for transaction fee on Personalised Name Night Light,Bear Baby ...	Order #3160518819	GBP	--	£0.74	£0.74
13 January, 2024	VAT	VAT: shipping transaction credit		GBP	--	£0.07	£0.07
13 January, 2024	Fee	Credit for transaction fee on shipping	Order #3160518819	GBP	--	£0.35	£0.35
13 January, 2024	VAT	VAT: Processing Fee	order: 3160518819	GBP	--	£0.17	£0.17
13 January, 2024	Fee	Credit for processing fee	Order #3160518819	GBP	--	£0.87	£0.87
13 January, 2024	Refund	Refund to buyer for Order #3160518819		GBP	-£16.80	--	-£16.80
12 January, 2024	VAT	VAT: Credit for Regulatory Operating fee		GBP	--	£0.01	£0.01
12 January, 2024	Fee	Credit for Regulatory Operating fee	Order #3102904031	GBP	--	£0.05	£0.05
12 January, 2024	VAT	VAT: Offsite Ads fee credit	order: 3102904031	GBP	--	£0.39	£0.39
12 January, 2024	Marketing	Credit for Offsite Ads fee	Order #3102904031	GBP	--	£1.93	£1.93
12 January, 2024	VAT	VAT: transaction credit	transaction credit: 3844560154	GBP	--	£0.13	£0.13
12 January, 2024	Fee	Credit for transaction fee on Personalised Name Night Light for Baby,A...	Order #3102904031	GBP	--	£0.65	£0.65
12 January, 2024	VAT	VAT: shipping transaction credit		GBP	--	£0.08	£0.08
12 January, 2024	Fee	Credit for transaction fee on shipping	Order #3102904031	GBP	--	£0.39	£0.39
12 January, 2024	VAT	VAT: Processing Fee	order: 3102904031	GBP	--	£0.19	£0.19
12 January, 2024	Fee	Credit for processing fee	Order #3102904031	GBP	--	£0.96	£0.96
12 January, 2024	Tax	Refund to buyer for sales tax	Order #3102904031	GBP	--	£3.05	£3.05
12 January, 2024	Refund	Refund to buyer for Order #3102904031		GBP	-£19.10	--	-£19.10
12 January, 2024	Fee	Credit for Regulatory Operating fee	Order #3090148712	GBP	--	£0.01	£0.01
12 January, 2024	VAT	VAT: transaction credit	transaction credit: 3816290459	GBP	--	£0.02	£0.02
12 January, 2024	Fee	Credit for transaction fee on Personalized Name Blanket for Baby/Kids/...	Order #3090148712	GBP	--	£0.12	£0.12
12 January, 2024	VAT	VAT: Processing Fee	order: 3090148712	GBP	--	£0.02	£0.02
12 January, 2024	Fee	Credit for processing fee	Order #3090148712	GBP	--	£0.08	£0.08
12 January, 2024	Tax	Refund to buyer for sales tax	Order #3090148712	GBP	--	£0.15	£0.15
12 January, 2024	Refund	Partial refund to buyer for Order #3090148712		GBP	-£1.93	--	-£1.93
11 January, 2024	VAT	VAT: Credit for Regulatory Operating fee		GBP	--	£0.01	£0.01
11 January, 2024	Fee	Credit for Regulatory Operating fee	Order #3160271059	GBP	--	£0.07	£0.07
11 January, 2024	VAT	VAT: Offsite Ads fee credit	order: 3160271059	GBP	--	£0.49	£0.49
11 January, 2024	Marketing	Credit for Offsite Ads fee	Order #3160271059	GBP	--	£2.44	£2.44
11 January, 2024	VAT	VAT: transaction credit	transaction credit: 3916524889	GBP	--	£0.19	£0.19
11 January, 2024	Fee	Credit for transaction fee on Custom Photo Collage LED Light,Personali...	Order #3160271059	GBP	--	£0.97	£0.97
11 January, 2024	VAT	VAT: shipping transaction credit		GBP	--	£0.07	£0.07
11 January, 2024	Fee	Credit for transaction fee on shipping	Order #3160271059	GBP	--	£0.35	£0.35
11 January, 2024	VAT	VAT: Processing Fee	order: 3160271059	GBP	--	£0.20	£0.20
