Product name	Variant	SKU	Product category	Last sold on	Predicted stockout	Total value	Inventory
Choker Alejandría			CHOKERS,Chokers Gold,IN SALE			80.00 €	10
Trinket			Trinket,All Products			54.00 €	9
Earrings AURORA TIERRA	"Colour":"Green","Size":"Small"	Unknown	Earrings,Colourful Earrings,IN SALE		2024-01-23	42.00 €	7
Earrings Letter	"Letter":"A"	Unknown	Earrings,Gold Earrings,IN SALE			35.00 €	7
Earrings ALEGRA		EA-0055	Earrings,Gold Earrings		2024-01-17	70.00 €	7
Earrings EGIPTO			Earrings,Gold Earrings		2024-01-17	60.00 €	6
Earrings AURORA TIERRA	"Colour":"Green","Size":"Medium"	Unknown	Earrings,Colourful Earrings,IN SALE			36.00 €	6
NecklaceTATIANA	"Colour":"Silver"	Unknown	Necklaces,Gold Necklace,IN SALE			60.00 €	5
Scarf SUNSET			Scarf,IN SALE			40.00 €	5
NecklaceTURQUÍA			Necklaces,Colourful Necklaces,IN SALE			40.00 €	5
Earrings Letter	"Letter":"N"	Unknown	Earrings,Gold Earrings,IN SALE			20.00 €	4
Earrings Letter	"Letter":"D"	Unknown	Earrings,Gold Earrings,IN SALE			20.00 €	4
Choker Pink	"Colour":"Black"	Unknown	CHOKERS,Colourful Chokers,IN SALE		2024-01-20	32.00 €	4
Earrings AURORA TIERRA	"Colour":"Brown","Size":"Small"	Unknown	Earrings,Colourful Earrings,IN SALE			24.00 €	4
Earrings Letter	"Letter":"M"	Unknown	Earrings,Gold Earrings,IN SALE			20.00 €	4
Earrings Violeta	"Size":"Small"	Unknown	Earrings,Colourful Earrings,Gold Earrings,IN SALE			24.00 €	4
Earrings Letter	"Letter":"S"	Unknown	Earrings,Gold Earrings,IN SALE			20.00 €	4
Earrings AURORA TIERRA	"Colour":"Brown","Size":"Medium"	Unknown	Earrings,Colourful Earrings,IN SALE		2024-01-20	24.00 €	4
Earrings VALENTINA			Earrings,Gold Earrings,IN SALE			28.00 €	4
Earrings Begoña			Earrings,Earrings Silvers		2024-01-19	24.00 €	3
Earrings CHLOÉ			Earrings,Gold Earrings,IN SALE		2024-01-19	24.00 €	3
Earrings Violeta	"Size":"big"	Unknown	Earrings,Colourful Earrings,Gold Earrings,IN SALE			18.00 €	3
Earrings LIBÉLULA	"Colour":"Silver","Lenght type":"long"	Unknown	Earrings,Gold Earrings			30.00 €	3
Earrings ESTRELLITA	"Colour":"Gold"	Unknown	Earrings,Gold Earrings,Earrings Silvers,IN SALE			30.00 €	3
Earrings Letter	"Letter":"L"	Unknown	Earrings,Gold Earrings,IN SALE			15.00 €	3
Earrings Moon			Earrings,Earrings Silvers,IN SALE			24.00 €	3
Earrings BRILLO	"Colour":"PURPLE","Size":"big","Lenght type":"long"	EA-0072	Earrings,Colourful Earrings,Gold Earrings			30.00 €	3
NecklaceSTAR			Necklaces,Gold Necklace,IN SALE			27.00 €	3
Earrings Tenerife	"Lenght type":"1 piece"	Unknown	Earrings,Gold Earrings			24.00 €	3
Earrings Letter	"Letter":"C"	Unknown	Earrings,Gold Earrings,IN SALE			15.00 €	3
NecklaceNavidad			Necklaces,Gold Necklace,IN SALE			30.00 €	3
Earrings Estrella	"Colour":"Silver"	Unknown	Earrings,Gold Earrings,IN SALE			24.00 €	3
Trinket			Trinkets,All Products			12.00 €	2
Earrings Marruecos			Earrings,Colourful Earrings,IN SALE			24.00 €	2
Earrings VIRGINIA	"Colour":"Silver","Lenght type":"3 flowers"	0	Earrings,Gold Earrings,IN SALE			16.00 €	2
Earrings TERA	"Colour":"Green"	Unknown	Earrings,Colourful Earrings,IN SALE			12.00 €	2
Earrings LIBÉLULA	"Colour":"Gold","Lenght type":"long"	Unknown	Earrings,Gold Earrings			20.00 €	2
Earrings PLUMA	"Colour":"Purple"	Unknown	Earrings,Colourful Earrings,IN SALE			20.00 €	2
Scarf SUNSET	"Colour":"Blue"	Unknown	Scarf,IN SALE			16.00 €	2
Chain			CHAINS			14.00 €	2
Earrings MARTE		EA-0053	Earrings,Gold Earrings,IN SALE		2024-01-16	16.00 €	2
Earrings MIL SOLES			Earrings,Gold Earrings,IN SALE			16.00 €	2
Earrings AZALEA			Earrings,Gold Earrings		2024-01-17	18.00 €	2
Earrings CRUZ MINI			Earrings,Gold Earrings,IN SALE			20.00 €	2
NecklaceMarruecos			Necklaces,Colourful Necklaces,Gold Necklace,IN SALE			20.00 €	2
Earrings Letter	"Letter":"B"	Unknown	Earrings,Gold Earrings,IN SALE			10.00 €	2
Earrings JUNIO			Earrings,Gold Earrings,IN SALE		2024-01-18	20.00 €	2
Chain Gota			Necklaces,Gold Necklace,IN SALE			16.00 €	2
Earrings Chili			Earrings,Gold Earrings,IN SALE		2024-01-18	20.00 €	2
Choker Octubre			CHOKERS,Chokers Gold,IN SALE			20.00 €	2
Necklacelargo Estrella	"Colour":"Blue"	Unknown	Necklaces,Colourful Necklaces,Gold Necklace,IN SALE			16.00 €	2
Earrings Estrella	"Colour":"Gold"	Unknown	Earrings,Gold Earrings,IN SALE			16.00 €	2
Earrings BRILLO	"Colour":"purple"	EA-0072	All Products			20.00 €	2
Earrings Mónica			Earrings,Colourful Earrings,Gold Earrings,IN SALE			16.00 €	2
Earrings PLUMA	"Colour":"Blue"	Unknown	Earrings,Colourful Earrings,IN SALE			20.00 €	2
Earrings Lágrima	"Colour":"White"	Unknown	Earrings,Gold Earrings,IN SALE			20.00 €	2
Choker Pink	"Colour":"Pink"	Unknown	CHOKERS,Colourful Chokers,IN SALE		2024-01-17	16.00 €	2
Earrings Lágrima	"Colour":"Black"	Unknown	Earrings,Gold Earrings,IN SALE			20.00 €	2
Earrings Étoile	"Size":"big"	Unknown	Earrings,Gold Earrings,IN SALE			12.00 €	2
NecklaceTierra			Necklaces,Colourful Necklaces,Gold Necklace,IN SALE			20.00 €	2
Earrings Borneo			Earrings,Gold Earrings,IN SALE			24.00 €	2
Earrings Letter	"Letter":"T"	Unknown	Earrings,Gold Earrings,IN SALE			10.00 €	2
Earrings Étoile	"Size":"Small"	Unknown	Earrings,Gold Earrings,IN SALE			12.00 €	2
Earrings CRUZ			Earrings,Gold Earrings,IN SALE		2024-01-18	12.00 €	2
Jewelry box Purple big			All Products			12.00 €	1
Earrings VALENTINA	"Colour":"Blue"	Unknown	Earrings,Colourful Earrings,IN SALE			7.00 €	1
NecklaceNATURA			Necklaces,Colourful Chokers,Chokers Gold,IN SALE			8.00 €	1
